
run | ch |    N_b    |  N_sin   |   T_f    |   phi_f   |    T_s    |   phi_s     | Chi^2 / NDF 
448 | D5 |    53±0.4 |   14±1.2 | 58.6±0.0 | 57.0±3.8  | 5120±19.9 | 3586±109.5  |   562 / 394 
448 | D4 |    62±0.4 |    6±1.2 | 59.6±0.0 | 47.8±5.6  | 5120±10.7 | 4477±173.1  |   689 / 394 
448 | D3 |   313±0.9 |   29±2.8 | 59.5±0.0 |  9.5±2.9  | 5140±17.7 | 3832±86.8   |  1811 / 394 
448 | D2 |  1729±2.1 |  102±6.5 | 59.0±0.0 | 49.4±1.6  | 5120±2.5  |  148±69.6   |  6856 / 394 
448 | D1 |  1094±1.7 |  100±5.4 | 59.5±0.0 | 13.3±1.5  | 5140±13.3 | 3533±45.7   |  3931 / 394 
451 | D5 |     4±0.1 |    1±0.4 | 59.4±0.1 | 43.6±12.7 | 5120±10.4 | 1352±310.1  |   698 / 394 
451 | D4 |     4±0.1 |    1±0.3 | 58.7±0.0 | 62.5±7.8  | 5140±16.1 | 4596±269.1  |   692 / 394 
451 | D3 |    22±0.2 |    8±0.7 | 61.4±0.0 | 37.2±3.7  | 5140±18.1 | 5182±177.8  |   628 / 394 
451 | D2 |   118±0.5 |   13±1.7 | 59.6±0.0 | 57.8±2.9  | 5140±13.5 | 4654±104.0  |  1217 / 394 
451 | D1 |    75±0.4 |    9±1.4 | 59.6±0.0 |  0.0±1.3  | 5120±18.1 |    0±26.0   |   851 / 394 
452 | D5 |    15±0.2 |    5±0.6 | 58.7±0.0 | 45.4±7.9  | 5120±19.4 | 2430±271.9  |   656 / 394 
452 | D4 |    17±0.2 |    3±0.8 | 59.4±0.0 | 31.7±7.3  | 5120±19.6 |    2±4531.6 |   604 / 394 
452 | D3 |    89±0.5 |   30±1.1 | 60.1±0.0 | 65.0±0.7  | 5140±2.8  | 2630±31.8   |   542 / 394 
452 | D2 |   478±1.1 |  146±3.7 | 60.1±0.0 | 65.0±0.5  | 5140±0.7  | 2074±15.4   |   781 / 394 
452 | D1 |   306±0.9 |   28±3.8 | 59.3±0.0 | 19.3±2.4  | 5140±18.1 |  374±77.3   |  2489 / 394 
455 | D5 |    18±0.2 |    3±0.7 | 59.2±0.0 | 65.0±8.5  | 5140±14.8 | 1517±168.3  |   550 / 394 
455 | D4 |    20±0.2 |    5±0.7 | 59.9±0.0 | 65.0±2.9  | 5140±12.5 | 5200±10.4   |   546 / 394 
455 | D3 |   104±0.5 |   35±1.6 | 59.9±0.0 |  3.2±3.6  | 5140±2.6  | 5187±29.7   |   552 / 394 
455 | D2 |   559±1.2 |   51±5.0 | 59.4±0.0 | 42.6±1.9  | 5120±16.6 | 2916±56.9   |  3437 / 394 
455 | D1 |   356±0.9 |   34±4.2 | 59.3±0.0 | 49.7±2.3  | 5140±12.7 | 2861±67.9   |  2469 / 394 
458 | D5 |     7±0.1 |    6±4.3 | 60.0±0.0 | 31.8±2.3  | 5140±18.3 | 2089±92.2   |   629 / 394 
458 | D4 |     8±0.1 |    2±0.4 | 59.1±0.0 | 65.0±2.0  | 5140±10.1 | 2134±3583.8 |   710 / 394 
458 | D3 |    41±0.3 |   18±1.0 | 59.9±0.0 |  8.4±3.4  | 5140±4.4  | 4544±38.4   |   493 / 394 
458 | D2 |   218±0.7 |   71±2.4 | 58.7±0.0 | 65.0±0.2  | 5140±12.6 | 1511±54.5   |  1244 / 394 
458 | D1 |   141±0.6 |   11±1.8 | 59.1±0.0 | 45.2±5.3  | 5120±19.4 |  277±165.1  |  1319 / 394 
459 | D5 |     3±0.1 |    2±0.3 | 58.7±0.0 | 38.0±6.3  | 5120±18.9 | 2991±179.1  |   573 / 394 
459 | D4 |     3±0.1 |    1±0.2 | 59.4±0.0 |  0.0±50.4 | 5120±12.1 |  733±281.2  |   618 / 394 
459 | D3 |    17±0.2 |    7±1.5 | 60.0±0.0 | 65.0±41.0 | 5140±14.6 | 4536±71.4   |   492 / 394 
459 | D2 |    92±0.5 |   12±1.6 | 59.7±0.0 |  0.0±0.3  | 5120±13.2 | 2722±106.7  |  1033 / 394 
459 | D1 |    59±0.4 |    8±1.6 | 59.4±0.0 | 43.3±3.9  | 5120±20.0 | 2720±117.8  |   746 / 394 
