run | ch |     N_b     |   N_sin    |    T_f     |    phi_f    | Chi^2 / NDF 
448 | D5 |     3+/-0.1 |    1+/-0.0 | 59.8+/-0.5 | 48.9+/-56.8 |   713 / 396 
448 | D4 |     3+/-0.1 |    1+/-0.0 | 59.2+/-0.0 | 65.0+/-44.1 |   849 / 396 
448 | D3 |    17+/-0.2 |    3+/-0.3 | 59.4+/-0.3 | 41.2+/-50.7 |  1784 / 396 
448 | D2 |    89+/-0.5 |   20+/-0.6 | 59.6+/-0.0 | 65.0+/-50.7 |  5811 / 396 
448 | D1 |    56+/-0.4 |   10+/-0.5 | 59.5+/-0.2 | 18.7+/-22.5 |  3774 / 396 
451 | D5 |     1+/-0.0 |    0+/-0.0 | 58.9+/-0.0 | 65.0+/-64.9 |   329 / 397 
451 | D4 |     1+/-0.0 |    0+/-0.0 | 58.1+/-0.1 | 65.0+/-64.0 |   327 / 397 
451 | D3 |     1+/-0.1 |    1+/-1.0 |  1.3+/-0.0 | 12.1+/-1.9 |   315 / 396 
451 | D2 |     6+/-0.1 |    2+/-0.2 | 59.3+/-0.3 | 56.9+/-57.6 |  1078 / 396 
451 | D1 |     4+/-0.1 |    1+/-0.3 | 59.2+/-0.2 | 65.0+/-43.5 |   856 / 396 
452 | D5 |     1+/-0.0 |    1+/-0.0 | 61.1+/-0.2 |  0.0+/-60.4 |   448 / 396 
452 | D4 |     1+/-0.0 |    1+/-0.0 | 58.9+/-0.0 | 65.0+/-43.8 |   455 / 396 
452 | D3 |     5+/-0.1 |    1+/-0.2 | 58.9+/-0.1 | 65.0+/-51.0 |   968 / 396 
452 | D2 |    25+/-0.3 |    6+/-0.3 | 59.5+/-0.2 | 31.6+/-24.0 |  1831 / 396 
452 | D1 |    16+/-0.2 |    4+/-0.3 | 59.4+/-0.2 | 44.0+/-24.7 |  1424 / 396 
455 | D5 |     1+/-0.0 |    1+/-0.1 |  1.9+/-0.0 |  3.0+/-0.4 |   269 / 396 
455 | D4 |     1+/-0.0 |    1+/-0.0 | 58.9+/-0.0 | 65.0+/-14.8 |   474 / 396 
455 | D3 |     6+/-0.1 |    2+/-0.2 | 59.3+/-0.1 |  0.6+/-63.4 |  1166 / 396 
455 | D2 |    30+/-0.3 |    7+/-0.4 | 59.4+/-0.2 | 45.2+/-21.0 |  2412 / 396 
455 | D1 |    19+/-0.2 |    4+/-0.3 | 59.7+/-0.0 |  0.0+/-8.8 |  1624 / 396 
458 | D5 |     1+/-0.0 |    1+/-0.0 | 60.6+/-0.0 |  0.0+/-10.2 |   465 / 396 
458 | D4 |     1+/-0.0 |    1+/-0.0 | 59.2+/-0.0 | 65.0+/-57.5 |   427 / 396 
458 | D3 |     2+/-0.1 |    1+/-0.4 | 59.6+/-0.4 |  6.9+/-49.3 |   590 / 396 
458 | D2 |    12+/-0.2 |    3+/-0.2 | 59.4+/-0.2 | 33.0+/-46.6 |  1474 / 396 
458 | D1 |     8+/-0.1 |    2+/-0.2 | 59.2+/-0.0 | 65.0+/-14.5 |  1395 / 396 
459 | D5 |     1+/-0.0 |    0+/-0.0 | 58.9+/-0.2 | 65.0+/-63.2 |   340 / 397 
459 | D4 |     1+/-0.0 |    0+/-0.0 | 54.3+/-0.0 |  0.0+/-59.0 |   320 / 397 
459 | D3 |     1+/-0.0 |    1+/-0.0 | 59.2+/-0.0 | 65.0+/-43.1 |   395 / 396 
459 | D2 |     5+/-0.1 |    2+/-0.2 | 59.2+/-0.1 | 64.9+/-43.2 |  1078 / 396 
459 | D1 |     3+/-0.1 |    1+/-1.7 | 59.3+/-0.3 | 54.0+/-55.1 |   815 / 396 
