id  | dz  | ch | cu rate (muon per p) | f rate (muon per p) 
448 |  0  | -- | 228.490874507 +/- 4.59041303778 | 6064.77438281 +/- 14.9384222754
--  | --  | D3 | 50.7654225653 +/- 1.76610238991 | 956.131894122 +/- 5.26994818557
--  | --  | D2 | 130.656383896 +/- 3.29065989347 | 2985.89755495 +/- 10.7309192809
--  | --  | D1 | 47.0690680461 +/- 2.66819278966 | 2122.74493374 +/- 8.74497674937
451 | 0.5 | -- | 180.153076335 +/- 10.3136317577 | 4079.80664553 +/- 32.5906143788
--  | --  | D3 | 57.5933328545 +/- 4.41741353753 | 698.57108694 +/- 11.9745250082
--  | --  | D2 | 102.766966692 +/- 7.57471940234 | 2155.33049018 +/- 23.7109879139
--  | --  | D1 | 19.7927767884 +/- 5.42590029786 | 1225.90506841 +/- 18.2798772753
452 | 0.5 | -- | 193.641503491 +/- 4.98826753829 | 4160.98567547 +/- 15.4991579936
--  | --  | D3 | 51.9708282332 +/- 2.12430486156 | 743.624041537 +/- 5.77694507255
--  | --  | D2 | 109.467727434 +/- 3.63888582672 | 2202.88545828 +/- 11.2817060284
--  | --  | D1 | 32.2029478239 +/- 2.66790046081 | 1214.47617566 +/- 8.6210959502
455 |  1  | -- | 186.619608766 +/- 4.14434792309 | 3846.68039289 +/- 12.7988961854
--  | --  | D3 | 51.1631581134 +/- 1.74823267537 | 684.861685109 +/- 4.77289174779
--  | --  | D2 | 104.566921288 +/- 3.03064524421 | 2030.79203229 +/- 9.3029457873
--  | --  | D1 | 30.8895293643 +/- 2.21940106167 | 1131.02667549 +/- 7.11641367056
1mm |  1  | -- | 3.96128365932e-08 +/- 216.782455475 | 30811.9986637 +/- 462.020626727
--  | --  | co | 3.96128365932e-08 +/- 216.782455475 | 30811.9986637 +/- 462.020626727
5mm |  5  | -- | 2.99826136007e-10 +/- 1961.45144627 | 21056.3175051 +/- 381.948512609
--  | --  | co | 2.99826136007e-10 +/- 1961.45144627 | 21056.3175051 +/- 381.948512609
458 |  5  | -- | 160.095054478 +/- 3.45794544707 | 2502.30372855 +/- 10.021067018
--  | --  | D3 | 30.1636206892 +/- 1.40114291612 | 408.677101756 +/- 3.67886497534
--  | --  | D2 | 102.021899062 +/- 2.54988827278 | 1290.21488783 +/- 7.18154512347
--  | --  | D1 | 27.9095347265 +/- 1.8655127759 | 803.411738968 +/- 5.65019864653
459 |  5  | -- | 172.129527539 +/- 5.28585771996 | 2550.23146867 +/- 15.0864968708
--  | --  | D3 | 31.8571355751 +/- 2.13753075448 | 422.294592013 +/- 5.57145664
--  | --  | D2 | 106.903724557 +/- 3.88993509292 | 1321.43796135 +/- 10.8207888485
--  | --  | D1 | 33.3686674063 +/- 2.8648184759 | 806.498915311 +/- 8.45775210602
0.5 | 0.5 | -- | 6.92204997212e-12 +/- 97.1345044094 | 32807.3831935 +/- 476.761295078
--  | --  | co | 6.92204997212e-12 +/- 97.1345044094 | 32807.3831935 +/- 476.761295078
5mm |  0  | -- | 5.80560541239e-07 +/- 114.241296158 | 37172.4363643 +/- 507.489699638
--  | --  | co | 5.80560541239e-07 +/- 114.241296158 | 37172.4363643 +/- 507.489699638
********************************************************************************
id  | dz  | ch |          cu           |           f           |   Chi^2/NDF  
448 |  0  | -- | 19895.30+/- 399.62 |  528075.90+/-1282.66  |    -1 / -1   
--  | --  | D3 | 4420.28+/- 153.77 |  83252.93+/- 457.60  |  2116 / 1239 
--  | --  | D2 | 11376.60+/- 286.49 |  259989.98+/- 928.30  |  5815 / 1239 
--  | --  | D1 | 4098.43+/- 232.32 |  184833.00+/- 757.68  |  2772 / 1239 
451 | 0.5 | -- | 1998.94+/- 114.40 |  45268.71+/- 355.22  |    -1 / -1   
--  | --  | D3 |  639.04+/-  49.01 |  7751.20+/- 132.36  |  1759 / 1239 
--  | --  | D2 | 1140.28+/-  84.03 |  23915.11+/- 260.65  |  1592 / 1239 
--  | --  | D1 |  219.62+/-  60.20 |  13602.40+/- 201.81  |  2887 / 1239 
452 | 0.5 | -- | 9318.91+/- 239.97 |  200245.56+/- 732.24  |    -1 / -1   
--  | --  | D3 | 2501.07+/- 102.22 |  35786.57+/- 276.85  |  1679 / 1239 
--  | --  | D2 | 5268.09+/- 175.08 |  106012.87+/- 537.69  |  2416 / 1239 
--  | --  | D1 | 1549.75+/- 128.39 |  58446.12+/- 412.81  |  1672 / 1239 
455 |  1  | -- | 11937.44+/- 264.98 |  246059.48+/- 802.62  |    -1 / -1   
--  | --  | D3 | 3272.74+/- 111.81 |  43808.35+/- 303.95  |  1865 / 1239 
--  | --  | D2 | 6688.80+/- 193.81 |  129903.08+/- 588.94  |  2726 / 1239 
--  | --  | D1 | 1975.90+/- 141.96 |  72348.05+/- 452.73  |  1766 / 1239 
1mm |  1  | -- |    0.00+/-  31.26 |  4442.96+/-  66.62  |    -1 / -1   
--  | --  | co |    0.00+/-  31.26 |  4442.96+/-  66.62  |   585 / 1243 
5mm |  5  | -- |    0.00+/- 282.83 |  3036.23+/-  55.08  |    -1 / -1   
--  | --  | co |    0.00+/- 282.83 |  3036.23+/-  55.08  |   576 / 1243 
458 |  5  | -- | 9365.49+/- 202.09 |  146383.72+/- 569.63  |    -1 / -1   
--  | --  | D3 | 1764.56+/-  81.95 |  23907.44+/- 214.02  |  1477 / 1239 
--  | --  | D2 | 5968.24+/- 149.06 |  75477.03+/- 414.00  |  2265 / 1239 
--  | --  | D1 | 1632.70+/- 109.12 |  46999.25+/- 327.53  |  1418 / 1239 
459 |  5  | -- | 4439.90+/- 136.20 |  65780.57+/- 377.74  |    -1 / -1   
--  | --  | D3 |  821.72+/-  55.12 |  10892.65+/- 142.87  |  1596 / 1239 
--  | --  | D2 | 2757.47+/- 100.26 |  34085.12+/- 274.87  |  1780 / 1239 
--  | --  | D1 |  860.71+/-  73.88 |  20802.80+/- 216.15  |  1314 / 1239 
0.5 | 0.5 | -- |    0.00+/-  14.01 |  4730.69+/-  68.75  |    -1 / -1   
--  | --  | co |    0.00+/-  14.01 |  4730.69+/-  68.75  |   758 / 1243 
5mm |  0  | -- |    0.00+/-  16.47 |  5360.11+/-  73.18  |    -1 / -1   
--  | --  | co |    0.00+/-  16.47 |  5360.11+/-  73.18  |   690 / 1243 
