id  | dz  | ch | cu rate (muon per p) | f rate (muon per p) 
448 |  0  | -- | 184.252831925 +/- 5.0496311321 | 6097.10525634 +/- 15.0564862516
--  | --  | D3 | 41.3490198361 +/- 1.89996195455 | 962.027233131 +/- 5.3086315361
--  | --  | D2 | 101.48817873 +/- 3.65354454154 | 3007.48594608 +/- 10.8210746283
--  | --  | D1 | 41.4156333587 +/- 2.92183955332 | 2127.59207713 +/- 8.81049820396
451 | 0.5 | -- | 139.949226392 +/- 11.1476057607 | 4103.83350806 +/- 32.8231795867
--  | --  | D3 | 48.816429108 +/- 4.71429545262 | 702.522867709 +/- 12.0647093486
--  | --  | D2 | 78.1644848806 +/- 8.1683101223 | 2169.16639416 +/- 23.918693483
--  | --  | D1 | 12.9683124037 +/- 5.941279152 | 1232.14424619 +/- 18.3588289617
452 | 0.5 | -- | 148.370728766 +/- 5.42075090392 | 4191.79557564 +/- 15.6341650214
--  | --  | D3 | 41.5205118233 +/- 2.25880338448 | 749.325617101 +/- 5.82596416644
--  | --  | D2 | 80.4771262998 +/- 3.97702389188 | 2222.7397338 +/- 11.3827514308
--  | --  | D1 | 26.3730906428 +/- 2.90844063006 | 1219.73022475 +/- 8.69442559985
455 |  1  | -- | 140.516047936 +/- 4.52135533836 | 3875.62961503 +/- 12.9091101194
--  | --  | D3 | 38.8687295594 +/- 1.88561645909 | 691.585015105 +/- 4.81419671012
--  | --  | D2 | 76.6976043184 +/- 3.32197254349 | 2049.07514436 +/- 9.38445955042
--  | --  | D1 | 24.9497140587 +/- 2.41796450596 | 1134.96945556 +/- 7.17642914185
1mm |  1  | -- | 22.1987649606 +/- 311.605406582 | 30842.2718921 +/- 490.424911583
--  | --  | co | 22.1987649606 +/- 311.605406582 | 30842.2718921 +/- 490.424911583
5mm |  5  | -- | 1.04424993016e-10 +/- 114.544343379 | 21035.753803 +/- 383.146697321
--  | --  | co | 1.04424993016e-10 +/- 114.544343379 | 21035.753803 +/- 383.146697321
458 |  5  | -- | 110.459068499 +/- 3.6629365423 | 2530.71890703 +/- 10.116364311
--  | --  | D3 | 22.6550909253 +/- 1.479247586 | 412.640276642 +/- 3.71294307556
--  | --  | D2 | 69.5736171684 +/- 2.68630640165 | 1308.60412448 +/- 7.25253840374
--  | --  | D1 | 18.2303604054 +/- 2.00171306701 | 809.4745059 +/- 5.70031362214
459 |  5  | -- | 126.627570817 +/- 5.63149959871 | 2577.57136772 +/- 15.220842717
--  | --  | D3 | 25.6666260995 +/- 2.26836195486 | 426.054907735 +/- 5.61767904936
--  | --  | D2 | 76.7553875827 +/- 4.1446666298 | 1338.11283462 +/- 10.9207712617
--  | --  | D1 | 24.2055571349 +/- 3.06138536567 | 813.403625373 +/- 8.52934089035
0.5 | 0.5 | -- | 5.52046496299e-09 +/- 104.372738802 | 32823.8498165 +/- 478.573713925
--  | --  | co | 5.52046496299e-09 +/- 104.372738802 | 32823.8498165 +/- 478.573713925
5mm |  0  | -- | 1.63313894709e-07 +/- 137.745740574 | 37199.9343585 +/- 509.490907622
--  | --  | co | 1.63313894709e-07 +/- 137.745740574 | 37199.9343585 +/- 509.490907622
********************************************************************************
id  | dz  | ch |          cu           |           f           |   Chi^2/NDF  
448 |  0  | -- | 16043.38+/- 439.64 |  530891.04+/-1292.89  |    -1 / -1   
--  | --  | D3 | 3600.37+/- 165.43 |  83766.25+/- 460.96  |   833 / 615  
--  | --  | D2 | 8836.84+/- 318.10 |  261869.73+/- 936.11  |  1197 / 615  
--  | --  | D1 | 3606.17+/- 254.41 |  185255.05+/- 763.40  |   775 / 615  
451 | 0.5 | -- | 1552.85+/- 123.67 |  45535.31+/- 357.77  |    -1 / -1   
--  | --  | D3 |  541.66+/-  52.30 |  7795.05+/- 133.36  |   720 / 615  
--  | --  | D2 |  867.30+/-  90.62 |  24068.63+/- 262.94  |   649 / 615  
--  | --  | D1 |  143.89+/-  65.92 |  13671.62+/- 202.68  |   680 / 615  
452 | 0.5 | -- | 7140.27+/- 260.82 |  201728.28+/- 738.65  |    -1 / -1   
--  | --  | D3 | 1998.16+/- 108.69 |  36060.96+/- 279.20  |   732 / 615  
--  | --  | D2 | 3872.93+/- 191.37 |  106968.35+/- 542.51  |   757 / 615  
--  | --  | D1 | 1269.19+/- 139.96 |  58698.97+/- 416.34  |   630 / 615  
455 |  1  | -- | 8988.35+/- 289.16 |  247911.27+/- 809.57  |    -1 / -1   
--  | --  | D3 | 2486.30+/- 120.61 |  44238.42+/- 306.58  |   721 / 615  
--  | --  | D2 | 4906.09+/- 212.47 |  131072.59+/- 594.10  |   683 / 615  
--  | --  | D1 | 1595.95+/- 154.67 |  72600.26+/- 456.57  |   688 / 615  
1mm |  1  | -- |    3.20+/-  44.93 |  4447.33+/-  70.72  |    -1 / -1   
--  | --  | co |    3.20+/-  44.93 |  4447.33+/-  70.72  |   375 / 619  
5mm |  5  | -- |    0.00+/-  16.52 |  3033.27+/-  55.25  |    -1 / -1   
--  | --  | co |    0.00+/-  16.52 |  3033.27+/-  55.25  |   376 / 619  
458 |  5  | -- | 6461.81+/- 214.19 |  148045.99+/- 574.98  |    -1 / -1   
--  | --  | D3 | 1325.31+/-  86.53 |  24139.28+/- 216.00  |   700 / 615  
--  | --  | D2 | 4070.03+/- 157.10 |  76552.79+/- 418.04  |   942 / 615  
--  | --  | D1 | 1066.47+/- 117.10 |  47353.92+/- 330.44  |   639 / 615  
459 |  5  | -- | 3266.23+/- 145.18 |  66485.78+/- 381.06  |    -1 / -1   
--  | --  | D3 |  662.04+/-  58.50 |  10989.64+/- 144.06  |   694 / 615  
--  | --  | D2 | 1979.83+/- 106.87 |  34515.23+/- 277.38  |   801 / 615  
--  | --  | D1 |  624.36+/-  78.96 |  20980.90+/- 217.97  |   610 / 615  
0.5 | 0.5 | -- |    0.00+/-  15.05 |  4733.06+/-  69.01  |    -1 / -1   
--  | --  | co |    0.00+/-  15.05 |  4733.06+/-  69.01  |   491 / 619  
5mm |  0  | -- |    0.00+/-  19.86 |  5364.08+/-  73.47  |    -1 / -1   
--  | --  | co |    0.00+/-  19.86 |  5364.08+/-  73.47  |   377 / 619  
