id  | dz  | ch | cu rate (muon per p) | f rate (muon per p) 
448 |  0  | -- | 247.440166728 +/- 4.74313398754 | 6471.46313598 +/- 15.3380046708
--  | --  | D5 | 2.16315321074 +/- 0.679298923822 | 140.374227253 +/- 2.09738580858
--  | --  | D4 | 16.7866894462 +/- 0.981140083527 | 266.315291895 +/- 2.61940112551
--  | --  | D3 | 50.7654225653 +/- 1.76610238991 | 956.131894122 +/- 5.26994818557
--  | --  | D2 | 130.65583346 +/- 3.29064222407 | 2985.89678898 +/- 10.7308944341
--  | --  | D1 | 47.0690680461 +/- 2.66819278966 | 2122.74493374 +/- 8.74497674937
451 | 0.5 | -- | 202.528199525 +/- 10.7201257247 | 4386.61704003 +/- 33.5649395763
--  | --  | D5 | 4.97587181185 +/- 1.75668493288 | 106.140299434 +/- 4.81074833765
--  | --  | D4 | 17.3992513784 +/- 2.33360829774 | 200.670095061 +/- 5.96799319091
--  | --  | D3 | 57.5933328545 +/- 4.41741353753 | 698.57108694 +/- 11.9745250082
--  | --  | D2 | 102.766966692 +/- 7.57471940234 | 2155.33049018 +/- 23.7109879139
--  | --  | D1 | 19.7927767884 +/- 5.42590029786 | 1225.90506841 +/- 18.2798772753
452 | 0.5 | -- | 217.608508685 +/- 5.19102515031 | 4482.60085374 +/- 15.982972081
--  | --  | D5 | 4.08219261955 +/- 0.813819457749 | 107.951987245 +/- 2.29294188496
--  | --  | D4 | 19.8848125752 +/- 1.18189423347 | 213.663191026 +/- 2.93321201417
--  | --  | D3 | 51.9708282332 +/- 2.12430486156 | 743.624041537 +/- 5.77694507255
--  | --  | D2 | 109.467727434 +/- 3.63888582672 | 2202.88545828 +/- 11.2817060284
--  | --  | D1 | 32.2029478239 +/- 2.66790046081 | 1214.47617566 +/- 8.6210959502
455 |  1  | -- | 214.366009523 +/- 4.32411712495 | 4128.673423 +/- 13.1882208631
--  | --  | D5 | 4.96829299785 +/- 0.68844812864 | 98.6177929216 +/- 1.88633984902
--  | --  | D4 | 22.7781077593 +/- 1.02169045626 | 183.375237182 +/- 2.36840739686
--  | --  | D3 | 51.1631581134 +/- 1.74823267537 | 684.861685109 +/- 4.77289174779
--  | --  | D2 | 104.566921288 +/- 3.03064524421 | 2030.79203229 +/- 9.3029457873
--  | --  | D1 | 30.8895293643 +/- 2.21940106167 | 1131.02667549 +/- 7.11641367056
1mm |  1  | -- | 3.96128365932e-08 +/- 216.782455475 | 30811.9986637 +/- 462.020626727
--  | --  | co | 3.96128365932e-08 +/- 216.782455475 | 30811.9986637 +/- 462.020626727
5mm |  5  | -- | 2.99826136007e-10 +/- 1961.45144627 | 21056.3175051 +/- 381.948512609
--  | --  | co | 2.99826136007e-10 +/- 1961.45144627 | 21056.3175051 +/- 381.948512609
458 |  5  | -- | 171.840612465 +/- 3.58096564651 | 2679.74384211 +/- 10.3353140387
--  | --  | D5 | 2.47794645661 +/- 0.544379726374 | 64.495053378 +/- 1.4910368112
--  | --  | D4 | 9.26761153019 +/- 0.75244304727 | 112.945060177 +/- 1.83455635128
--  | --  | D3 | 30.1636206892 +/- 1.40114291612 | 408.677101756 +/- 3.67886497534
--  | --  | D2 | 102.021899062 +/- 2.54988827278 | 1290.21488783 +/- 7.18154512347
--  | --  | D1 | 27.9095347265 +/- 1.8655127759 | 803.411738968 +/- 5.65019864653
459 |  5  | -- | 185.827336373 +/- 5.53878780278 | 2730.95650089 +/- 15.5735840873
--  | --  | D5 | 2.3494566716 +/- 0.814792431815 | 66.22013267 +/- 2.23119592321
--  | --  | D4 | 11.3483521626 +/- 1.43678664512 | 114.504899547 +/- 2.83949573397
--  | --  | D3 | 31.8571355751 +/- 2.13753075448 | 422.294592013 +/- 5.57145664
--  | --  | D2 | 106.903724557 +/- 3.88993509292 | 1321.43796135 +/- 10.8207888485
--  | --  | D1 | 33.3686674063 +/- 2.8648184759 | 806.498915311 +/- 8.45775210602
0.5 | 0.5 | -- | 6.92204997212e-12 +/- 97.1345044094 | 32807.3831935 +/- 476.761295078
--  | --  | co | 6.92204997212e-12 +/- 97.1345044094 | 32807.3831935 +/- 476.761295078
5mm |  0  | -- | 5.80560541239e-07 +/- 114.241296158 | 37172.4363643 +/- 507.489699638
--  | --  | co | 5.80560541239e-07 +/- 114.241296158 | 37172.4363643 +/- 507.489699638
********************************************************************************
id  | dz  | ch |          cu           |           f           |   Chi^2/NDF  
448 |  0  | -- | 21545.27+/- 412.90 |  563487.36+/-1315.47  |    -1 / -1   
--  | --  | D5 |  188.35+/-  59.15 |  12222.75+/- 182.56  | 37059 / 1239 
--  | --  | D4 | 1461.66+/-  85.43 |  23188.77+/- 227.88  | 115128 / 1239 
--  | --  | D3 | 4420.28+/- 153.77 |  83252.93+/- 457.60  |  2116 / 1239 
--  | --  | D2 | 11376.55+/- 286.49 |  259989.91+/- 928.29  |  5815 / 1239 
--  | --  | D1 | 4098.43+/- 232.32 |  184833.00+/- 757.68  |  2772 / 1239 
451 | 0.5 | -- | 2247.21+/- 118.90 |  48673.02+/- 365.24  |    -1 / -1   
--  | --  | D5 |   55.21+/-  19.49 |  1177.71+/-  53.35  |  2040 / 1239 
--  | --  | D4 |  193.06+/-  25.89 |  2226.59+/-  66.14  |  3020 / 1239 
--  | --  | D3 |  639.04+/-  49.01 |  7751.20+/- 132.36  |  1759 / 1239 
--  | --  | D2 | 1140.28+/-  84.03 |  23915.11+/- 260.65  |  1592 / 1239 
--  | --  | D1 |  219.62+/-  60.20 |  13602.40+/- 201.81  |  2887 / 1239 
452 | 0.5 | -- | 10472.31+/- 249.71 |  215723.15+/- 753.80  |    -1 / -1   
--  | --  | D5 |  196.45+/-  39.16 |  5195.14+/- 110.29  |  9906 / 1239 
--  | --  | D4 |  956.95+/-  56.87 |  10282.45+/- 140.97  | 32046 / 1239 
--  | --  | D3 | 2501.07+/- 102.22 |  35786.57+/- 276.85  |  1679 / 1239 
--  | --  | D2 | 5268.09+/- 175.08 |  106012.87+/- 537.69  |  2416 / 1239 
--  | --  | D1 | 1549.75+/- 128.39 |  58446.12+/- 412.81  |  1672 / 1239 
455 |  1  | -- | 13712.29+/- 276.45 |  264097.65+/- 825.61  |    -1 / -1   
--  | --  | D5 |  317.81+/-  44.04 |  6308.26+/- 120.59  | 15454 / 1239 
--  | --  | D4 | 1457.04+/-  65.35 |  11729.91+/- 151.30  | 56096 / 1239 
--  | --  | D3 | 3272.74+/- 111.81 |  43808.35+/- 303.95  |  1865 / 1239 
--  | --  | D2 | 6688.80+/- 193.81 |  129903.08+/- 588.94  |  2726 / 1239 
--  | --  | D1 | 1975.90+/- 141.96 |  72348.05+/- 452.73  |  1766 / 1239 
1mm |  1  | -- |    0.00+/-  31.26 |  4442.96+/-  66.62  |    -1 / -1   
--  | --  | co |    0.00+/-  31.26 |  4442.96+/-  66.62  |   585 / 1243 
5mm |  5  | -- |    0.00+/- 282.83 |  3036.23+/-  55.08  |    -1 / -1   
--  | --  | co |    0.00+/- 282.83 |  3036.23+/-  55.08  |   576 / 1243 
458 |  5  | -- | 10052.60+/- 209.27 |  156763.89+/- 586.13  |    -1 / -1   
--  | --  | D5 |  144.96+/-  31.85 |  3772.93+/-  87.15  |  5842 / 1239 
--  | --  | D4 |  542.15+/-  44.01 |  6607.24+/- 107.14  | 12516 / 1239 
--  | --  | D3 | 1764.56+/-  81.95 |  23907.44+/- 214.02  |  1477 / 1239 
--  | --  | D2 | 5968.24+/- 149.06 |  75477.03+/- 414.00  |  2265 / 1239 
--  | --  | D1 | 1632.70+/- 109.12 |  46999.25+/- 327.53  |  1418 / 1239 
459 |  5  | -- | 4793.22+/- 142.70 |  70442.19+/- 389.02  |    -1 / -1   
--  | --  | D5 |   60.60+/-  21.02 |  1708.08+/-  57.50  |  2110 / 1239 
--  | --  | D4 |  292.72+/-  37.06 |  2953.53+/-  73.12  |  3981 / 1239 
--  | --  | D3 |  821.72+/-  55.12 |  10892.65+/- 142.87  |  1596 / 1239 
--  | --  | D2 | 2757.47+/- 100.26 |  34085.12+/- 274.87  |  1780 / 1239 
--  | --  | D1 |  860.71+/-  73.88 |  20802.80+/- 216.15  |  1314 / 1239 
0.5 | 0.5 | -- |    0.00+/-  14.01 |  4730.69+/-  68.75  |    -1 / -1   
--  | --  | co |    0.00+/-  14.01 |  4730.69+/-  68.75  |   758 / 1243 
5mm |  0  | -- |    0.00+/-  16.47 |  5360.11+/-  73.18  |    -1 / -1   
--  | --  | co |    0.00+/-  16.47 |  5360.11+/-  73.18  |   690 / 1243 
